Entity,Label
Apple Inc,ORG
Стив Джобс (Steve Jobs),PER
Стивен Пол Джобс (Steven Paul Jobs),PER
Сан-Франциско,LOC
США,LOC
Джоан Шибле (Joanne Schieble),PER
Абдулфаттах,PER
Джон Джандали (Abdulfattah John Jandali),PER
Пол,PER
Клара Джобс (Paul Jobs,PER
Clara Jobs,ORG
Клара,PER
Пол Джобс,PER
Маунтин-Вью,LOC
Калифорния,LOC
Лос-Альтос,LOC
Стивена Джобса,PER
Джобс,LOC
Hewlett-Packard (Hewlett-Packard Explorers Club),ORG
Apple,ORG
Стивом Возняком (Stephen Wozniak),PER
Джобс,PER
Купертино,LOC
Калифорния,LOC
Рид (Reed College),PER
Портленде,LOC
Орегон,LOC
Калифорнию,LOC
Atari,ORG
Джобс,PER
Индию,LOC
США,LOC
Джобс,PER
Возняка,PER
Джобса,PER
Джобс,PER
Возняк,PER
Apple Computer Co,ORG
Стив Возняк,PER
Джобс,PER
